0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	6
33	271
34	236
35	267
36	255
37	272
38	268
39	297
40	294
41	310
42	284
43	322
44	315
45	314
46	324
47	343
48	318
49	345
50	343
51	315
52	329
53	304
54	315
55	325
56	308
57	314
58	343
59	328
60	343
61	304
62	312
63	331
64	301
65	318
66	313
67	323
68	320
69	336
70	353
71	358
72	388
73	366
74	390
75	337
76	373
77	412
78	383
79	381
80	366
81	387
82	372
83	367
84	395
85	417
86	364
87	358
88	326
89	350
90	347
91	339
92	324
93	292
94	289
95	316
96	292
97	268
98	294
99	290
100	290
101	271
102	265
103	249
104	234
105	234
106	263
107	252
108	218
109	209
110	239
111	207
112	203
113	195
114	195
115	194
116	198
117	208
118	178
119	191
120	184
121	182
122	166
123	187
124	170
125	167
126	164
127	158
128	155
129	145
130	176
131	154
132	140
133	135
134	136
135	133
136	141
137	151
138	156
139	142
140	122
141	135
142	139
143	135
144	137
145	153
146	138
147	137
148	135
149	152
150	127
151	140
152	149
153	114
154	130
155	138
156	115
157	137
158	109
159	118
160	122
161	130
162	140
163	128
164	125
165	130
166	142
167	128
168	149
169	131
170	137
171	105
172	116
173	115
174	117
175	127
176	157
177	110
178	118
179	101
180	125
181	115
182	126
183	133
184	110
185	108
186	108
187	113
188	95
189	105
190	125
191	120
192	123
193	108
194	125
195	121
196	126
197	92
198	116
199	106
200	99
201	110
202	120
203	126
204	122
205	96
206	125
207	96
208	100
209	117
210	123
211	116
212	109
213	142
214	117
215	110
216	103
217	108
218	138
219	119
220	111
221	118
222	111
223	102
224	121
225	120
226	95
227	97
228	114
229	118
230	106
231	117
232	106
233	109
234	101
235	115
236	128
237	127
238	126
239	116
240	140
241	106
242	132
243	117
244	117
245	135
246	120
247	117
248	106
249	118
250	106
251	103
252	105
253	140
254	103
255	121
256	108
257	144
258	117
259	133
260	117
261	110
262	127
263	107
264	138
265	131
266	101
267	142
268	124
269	137
270	105
271	130
272	128
273	155
274	138
275	121
276	124
277	130
278	104
279	129
280	127
281	135
282	153
283	129
284	137
285	138
286	132
287	132
288	121
289	115
290	132
291	138
292	139
293	132
294	152
295	136
296	123
297	138
298	143
299	135
300	115
301	125
302	135
303	108
304	121
305	114
306	134
307	110
308	97
309	100
310	119
311	95
312	110
313	97
314	100
315	78
316	84
317	97
318	93
319	102
320	85
321	86
322	92
323	94
324	81
325	78
326	69
327	76
328	96
329	74
330	94
331	84
332	88
333	72
334	74
335	76
336	73
337	93
338	62
339	82
340	75
341	84
342	75
343	88
344	75
345	64
346	76
347	79
348	70
349	56
350	72
351	65
352	69
353	81
354	64
355	69
356	67
357	79
358	76
359	72
360	87
361	85
362	123
363	118
364	120
365	150
366	138
367	174
368	149
369	163
370	161
371	176
372	176
373	188
374	190
375	180
376	198
377	194
378	206
379	160
380	159
381	149
382	167
383	136
384	131
385	130
386	118
387	91
388	98
389	74
390	76
391	66
392	52
393	52
394	36
395	30
396	43
397	36
398	16
399	20
400	27
401	23
402	23
403	27
404	20
405	29
406	26
407	37
408	35
409	51
410	51
411	61
412	61
413	64
414	76
415	97
416	106
417	99
418	103
419	109
420	136
421	110
422	134
423	164
424	123
425	148
426	108
427	125
428	137
429	123
430	118
431	119
432	120
433	92
434	107
435	83
436	87
437	56
438	64
439	60
440	54
441	52
442	36
443	32
444	53
445	38
446	26
447	18
448	11
449	12
450	14
451	10
452	10
453	3
454	5
455	2
456	2
457	4
458	5
459	2
460	4
461	1
462	3
463	2
464	6
465	3
466	2
467	2
468	1
469	2
470	0
471	2
472	2
473	2
474	1
475	0
476	3
477	2
478	0
479	1
480	4
481	3
482	1
483	0
484	0
485	0
486	2
487	0
488	1
489	3
490	1
491	1
492	1
493	1
494	0
495	4
496	2
497	3
498	2
499	1
500	1
501	1
502	5
503	1
504	3
505	1
506	2
507	3
508	3
509	0
510	1
511	0
