314  318   23.03.2023

Muons 0-5 in the iron absorber.


     x               y             z         cos(teta_x)   cos(teta_y)   cos(teta_z)

0
 -7.782782e-01  -1.261822e-01  1.830000e+03  -1.659628e-03  -1.212200e-03  9.999979e-01
 -8.221254e-01  -1.733220e-01  1.860000e+03  -1.590292e-03  -1.511189e-03  9.999976e-01
 -8.674379e-01  -2.182445e-01  1.890000e+03  -1.566674e-03  -1.559552e-03  9.999976e-01
 -9.108670e-01  -2.634480e-01  1.920000e+03  -1.558871e-03  -1.463226e-03  9.999977e-01
 -9.451227e-01  -3.133193e-01  1.950000e+03  -8.326279e-04  -1.667539e-03  9.999983e-01
 -9.715017e-01  -3.647908e-01  1.980000e+03  -1.071183e-03  -1.615281e-03  9.999981e-01
 -1.017429e+00  -4.152235e-01  2.010000e+03  -1.717705e-03  -1.665194e-03  9.999971e-01
 -1.065612e+00  -4.614067e-01  2.040000e+03  -1.677159e-03  -1.287134e-03  9.999978e-01
 -1.113470e+00  -4.927439e-01  2.070000e+03  -1.685434e-03  -8.854268e-04  9.999982e-01
 -1.166462e+00  -5.155719e-01  2.100000e+03  -1.922306e-03  -7.969567e-04  9.999978e-01
 -1.223047e+00  -5.467657e-01  2.130000e+03  -1.798936e-03  -8.381634e-04  9.999980e-01
 -1.282830e+00  -5.615031e-01  2.160000e+03  -2.148260e-03  -4.457446e-04  9.999976e-01
 -1.347978e+00  -5.774871e-01  2.190000e+03  -2.205414e-03  -5.052103e-04  9.999974e-01
 -1.403318e+00  -5.845076e-01  2.220000e+03  -1.563395e-03  -2.566947e-04  9.999987e-01
 -1.443249e+00  -5.860874e-01  2.250000e+03  -1.147669e-03  4.340375e-05  9.999993e-01 
 -1.476560e+00  -5.924149e-01  2.280000e+03  -1.113097e-03  -4.567218e-04  9.999993e-01
 -1.522719e+00  -6.100935e-01  2.310000e+03  -1.903464e-03  -3.474759e-04  9.999981e-01
 -1.577920e+00  -6.369990e-01  2.340000e+03  -1.948763e-03  -1.353138e-03  9.999972e-01
 -1.645634e+00  -6.658701e-01  2.370000e+03  -2.581416e-03  -8.365868e-04  9.999963e-01
 -1.724267e+00  -7.000081e-01  2.400000e+03  -2.859848e-03  -1.423140e-03  9.999949e-01
 -1.812020e+00  -7.469709e-01  2.430000e+03  -3.062700e-03  -1.540463e-03  9.999941e-01
 -1.898493e+00  -7.952554e-01  2.460000e+03  -2.613131e-03  -1.801856e-03  9.999950e-01
 -1.968063e+00  -8.421194e-01  2.490000e+03  -2.158671e-03  -1.521149e-03  9.999965e-01
 -2.030978e+00  -8.934908e-01  2.520000e+03  -1.866718e-03  -1.943002e-03  9.999964e-01
 -2.088163e+00  -9.529539e-01  2.550000e+03  -2.141219e-03  -1.957896e-03  9.999958e-01
 -2.148655e+00  -1.013520e+00  2.580000e+03  -1.891766e-03  -1.839831e-03  9.999965e-01
 -2.210092e+00  -1.060077e+00  2.610000e+03  -2.085625e-03  -1.322097e-03  9.999970e-01
 -2.277687e+00  -1.083930e+00  2.640000e+03  -2.282527e-03  -3.382021e-04  9.999973e-01
 -2.354124e+00  -1.087049e+00  2.670000e+03  -2.701097e-03  -2.484070e-05  9.999964e-01
 -2.435928e+00  -1.098152e+00  2.700000e+03  -2.264223e-03  -5.706617e-04  9.999973e-01
 -2.507323e+00  -1.118821e+00  2.730000e+03  -2.271848e-03  -4.846887e-04  9.999973e-01
 -2.577341e+00  -1.127266e+00  2.760000e+03  -2.802716e-03  1.284470e-04  9.999961e-01 
 -2.654411e+00  -1.122020e+00  2.790000e+03  -2.099074e-03  7.144697e-05  9.999978e-01 
 -2.701686e+00  -1.124717e+00  2.820000e+03  -1.177582e-03  -2.501511e-04  9.999993e-01
 -2.722042e+00  -1.144295e+00  2.850000e+03  -5.573476e-04  -1.070331e-03  9.999993e-01
 -2.740122e+00  -1.174145e+00  2.880000e+03  -1.943966e-04  -1.157583e-03  9.999993e-01
 -2.744492e+00  -1.205843e+00  2.910000e+03  -8.071544e-06  -8.462127e-04  9.999996e-01
 -2.749534e+00  -1.229365e+00  2.940000e+03  -7.639542e-05  -3.765447e-04  9.999999e-01
 -2.757588e+00  -1.240145e+00  2.970000e+03  -4.285307e-04  -2.155024e-04  9.999999e-01
 -2.757598e+00  -1.256380e+00  3.000000e+03  1.223866e-05  -4.458778e-04  9.999999e-01 

1
 6.660665e-02  1.384101e-02  3.000000e+01  -3.586449e-04  -1.728851e-04  9.999999e-01 
 5.358011e-02  5.994723e-03  6.000000e+01  -4.676616e-04  -4.099678e-04  9.999998e-01 
 3.821768e-02  -1.820814e-03  9.000000e+01  -8.279127e-04  1.270489e-04  9.999996e-01 
 1.151111e-02  3.047359e-03  1.200000e+02  -8.938189e-04  3.919326e-04  9.999995e-01 
 -2.038451e-02  2.117814e-02  1.500000e+02  -1.164896e-03  4.922736e-04  9.999992e-01 
 -6.048981e-02  3.984437e-02  1.800000e+02  -1.555214e-03  6.506038e-04  9.999986e-01 
 -1.132645e-01  5.908864e-02  2.100000e+02  -1.813657e-03  6.637823e-04  9.999981e-01 
 -1.709195e-01  8.025579e-02  2.400000e+02  -2.003448e-03  7.899867e-04  9.999977e-01 
 -2.373629e-01  1.024082e-01  2.700000e+02  -2.417852e-03  5.501045e-04  9.999969e-01 
 -3.136725e-01  1.203433e-01  3.000000e+02  -2.645828e-03  2.874349e-04  9.999965e-01 
 -3.965114e-01  1.276828e-01  3.300000e+02  -2.898543e-03  1.493192e-04  9.999958e-01 
 -4.793801e-01  1.221603e-01  3.600000e+02  -2.778450e-03  -3.337320e-04  9.999961e-01
 -5.667812e-01  1.041157e-01  3.900000e+02  -3.003619e-03  -6.819412e-04  9.999953e-01
 -6.622102e-01  8.450934e-02  4.200000e+02  -3.341909e-03  -8.835229e-04  9.999940e-01
 -7.616535e-01  5.834174e-02  4.500000e+02  -3.235742e-03  -5.760075e-04  9.999946e-01
 -8.628583e-01  3.904376e-02  4.800000e+02  -3.567870e-03  -4.743017e-04  9.999935e-01
 -9.719672e-01  3.398201e-02  5.100000e+02  -3.778728e-03  1.754536e-04  9.999928e-01 
 -1.083134e+00  4.367517e-02  5.400000e+02  -3.716918e-03  2.350099e-04  9.999931e-01 
 -1.187073e+00  4.869965e-02  5.700000e+02  -3.187553e-03  1.470457e-04  9.999949e-01 
 -1.287887e+00  5.079516e-02  6.000000e+02  -3.461749e-03  2.955595e-05  9.999940e-01 
 -1.396354e+00  5.414716e-02  6.300000e+02  -3.656486e-03  1.274172e-04  9.999933e-01 
 -1.500517e+00  5.640934e-02  6.600000e+02  -3.371891e-03  2.002145e-04  9.999943e-01 
 -1.603360e+00  7.664348e-02  6.900000e+02  -3.537311e-03  1.039184e-03  9.999932e-01 
 -1.711704e+00  1.052754e-01  7.200000e+02  -3.336551e-03  8.990450e-04  9.999940e-01 
 -1.813329e+00  1.277877e-01  7.500000e+02  -3.506753e-03  4.981908e-04  9.999937e-01 
 -1.919922e+00  1.387454e-01  7.800000e+02  -3.487620e-03  4.544910e-04  9.999938e-01 
 -2.032772e+00  1.452690e-01  8.100000e+02  -3.789506e-03  1.068781e-04  9.999928e-01 
 -2.147640e+00  1.489669e-01  8.400000e+02  -3.761804e-03  -5.142627e-05  9.999929e-01
 -2.251236e+00  1.486830e-01  8.700000e+02  -3.220422e-03  2.546518e-04  9.999948e-01 
 -2.345574e+00  1.553813e-01  9.000000e+02  -3.159312e-03  4.559698e-04  9.999949e-01 
 -2.443468e+00  1.642747e-01  9.300000e+02  -3.101535e-03  4.515312e-04  9.999951e-01 
 -2.544099e+00  1.855541e-01  9.600000e+02  -3.269032e-03  7.889915e-04  9.999943e-01 
 -2.643730e+00  2.168235e-01  9.900000e+02  -3.458313e-03  1.139474e-03  9.999934e-01 
 -2.747290e+00  2.544885e-01  1.020000e+03  -3.579033e-03  1.435651e-03  9.999926e-01 
 -2.855160e+00  2.992687e-01  1.050000e+03  -3.705322e-03  1.639718e-03  9.999918e-01 
 -2.970536e+00  3.419449e-01  1.080000e+03  -4.075372e-03  1.551240e-03  9.999905e-01 
 -3.097149e+00  3.870520e-01  1.110000e+03  -4.335252e-03  1.614113e-03  9.999893e-01 
 -3.229010e+00  4.451113e-01  1.140000e+03  -4.465627e-03  2.041442e-03  9.999879e-01 
 -3.363848e+00  5.046640e-01  1.170000e+03  -4.518186e-03  1.952544e-03  9.999879e-01 
 -3.504581e+00  5.609515e-01  1.200000e+03  -5.027819e-03  1.583314e-03  9.999861e-01 
 -3.651513e+00  6.057077e-01  1.230000e+03  -4.847242e-03  1.401152e-03  9.999873e-01 
 -3.797413e+00  6.481580e-01  1.260000e+03  -4.588512e-03  1.356893e-03  9.999886e-01 
 -3.938635e+00  6.905942e-01  1.290000e+03  -4.516316e-03  1.246811e-03  9.999890e-01 
 -4.068927e+00  7.281673e-01  1.320000e+03  -4.441970e-03  1.138375e-03  9.999895e-01 
 -4.200543e+00  7.583950e-01  1.350000e+03  -4.301225e-03  1.051909e-03  9.999902e-01 
 -4.325835e+00  7.921835e-01  1.380000e+03  -4.087088e-03  1.320643e-03  9.999908e-01 
 -4.446107e+00  8.368625e-01  1.410000e+03  -3.877983e-03  1.991214e-03  9.999905e-01 
 -4.557137e+00  9.074682e-01  1.440000e+03  -3.379895e-03  2.345760e-03  9.999915e-01 
 -4.657228e+00  9.624847e-01  1.470000e+03  -3.662383e-03  1.861214e-03  9.999916e-01 
 -4.765502e+00  1.019894e+00  1.500000e+03  -3.387580e-03  1.946261e-03  9.999924e-01 
 -4.880779e+00  1.076112e+00  1.530000e+03  -4.078586e-03  1.754345e-03  9.999901e-01 
 -5.003231e+00  1.123161e+00  1.560000e+03  -3.895611e-03  1.680824e-03  9.999910e-01 
 -5.133615e+00  1.175667e+00  1.590000e+03  -4.466645e-03  1.562472e-03  9.999888e-01 
 -5.256901e+00  1.228823e+00  1.620000e+03  -3.898188e-03  1.658748e-03  9.999910e-01 
 -5.364850e+00  1.283409e+00  1.650000e+03  -3.519412e-03  2.025706e-03  9.999918e-01 
 -5.462667e+00  1.344081e+00  1.680000e+03  -3.050630e-03  1.994696e-03  9.999934e-01 
 -5.566119e+00  1.405302e+00  1.710000e+03  -3.819223e-03  1.989321e-03  9.999907e-01 
 -5.685795e+00  1.462753e+00  1.740000e+03  -4.013571e-03  1.714891e-03  9.999905e-01 
 -5.806997e+00  1.515642e+00  1.770000e+03  -4.097800e-03  2.318872e-03  9.999889e-01 
 -5.933454e+00  1.586005e+00  1.800000e+03  -4.559614e-03  2.431602e-03  9.999866e-01 
 -6.071461e+00  1.666105e+00  1.830000e+03  -4.536920e-03  2.779397e-03  9.999858e-01 
 -6.209032e+00  1.744434e+00  1.860000e+03  -4.587535e-03  2.405913e-03  9.999866e-01 
 -6.353185e+00  1.829380e+00  1.890000e+03  -4.956318e-03  3.018333e-03  9.999832e-01 
 -6.509210e+00  1.910666e+00  1.920000e+03  -5.266147e-03  2.642856e-03  9.999826e-01 
 -6.672141e+00  1.997232e+00  1.950000e+03  -5.836548e-03  2.784613e-03  9.999791e-01 
 -6.849370e+00  2.088277e+00  1.980000e+03  -6.010911e-03  3.274237e-03  9.999766e-01 
 -7.045095e+00  2.186017e+00  2.010000e+03  -6.669401e-03  3.096064e-03  9.999730e-01 
 -7.244535e+00  2.278073e+00  2.040000e+03  -6.339169e-03  3.254996e-03  9.999746e-01 
 -7.440499e+00  2.386321e+00  2.070000e+03  -6.695328e-03  3.576852e-03  9.999712e-01 
 -7.646089e+00  2.496642e+00  2.100000e+03  -7.084718e-03  3.587694e-03  9.999685e-01 
 -7.852276e+00  2.601889e+00  2.130000e+03  -6.977074e-03  3.641642e-03  9.999690e-01 
 -8.058425e+00  2.712481e+00  2.160000e+03  -6.665256e-03  4.167314e-03  9.999691e-01 
 -8.256149e+00  2.848915e+00  2.190000e+03  -6.472690e-03  5.015439e-03  9.999665e-01 
 -8.445865e+00  2.995127e+00  2.220000e+03  -6.261649e-03  5.034417e-03  9.999677e-01 
 -8.631846e+00  3.141519e+00  2.250000e+03  -6.066200e-03  4.654248e-03  9.999708e-01 
 -8.817127e+00  3.276150e+00  2.280000e+03  -6.430280e-03  4.274317e-03  9.999702e-01 
 -9.014970e+00  3.399959e+00  2.310000e+03  -6.554114e-03  3.767549e-03  9.999714e-01 
 -9.211081e+00  3.523349e+00  2.340000e+03  -6.648267e-03  4.442874e-03  9.999680e-01 
 -9.420738e+00  3.659037e+00  2.370000e+03  -7.478713e-03  4.743379e-03  9.999608e-01 
 -9.639974e+00  3.799912e+00  2.400000e+03  -7.153941e-03  4.952465e-03  9.999621e-01 
 -9.862245e+00  3.949425e+00  2.430000e+03  -7.511264e-03  5.384630e-03  9.999573e-01 
 -1.008184e+01  4.114366e+00  2.460000e+03  -7.077046e-03  5.383904e-03  9.999605e-01 
 -1.029273e+01  4.279121e+00  2.490000e+03  -7.154699e-03  5.813845e-03  9.999575e-01 
 -1.050800e+01  4.456900e+00  2.520000e+03  -7.229965e-03  6.139425e-03  9.999550e-01 
 -1.071469e+01  4.630781e+00  2.550000e+03  -6.596288e-03  5.786806e-03  9.999615e-01 
 -1.091120e+01  4.813764e+00  2.580000e+03  -6.633614e-03  6.216951e-03  9.999587e-01 
 -1.110949e+01  4.988268e+00  2.610000e+03  -6.483801e-03  5.691558e-03  9.999628e-01 
 -1.129503e+01  5.152066e+00  2.640000e+03  -5.802870e-03  5.091887e-03  9.999702e-01 
 -1.146162e+01  5.302342e+00  2.670000e+03  -5.163546e-03  5.132557e-03  9.999735e-01 
 -1.160210e+01  5.454714e+00  2.700000e+03  -4.240805e-03  5.076805e-03  9.999781e-01 
 -1.172285e+01  5.605446e+00  2.730000e+03  -3.969216e-03  4.906850e-03  9.999801e-01 
 -1.184562e+01  5.751031e+00  2.760000e+03  -3.885707e-03  4.849091e-03  9.999807e-01 
 -1.196529e+01  5.895734e+00  2.790000e+03  -3.859452e-03  4.853197e-03  9.999808e-01 
 -1.206379e+01  6.046958e+00  2.820000e+03  -2.784252e-03  5.071241e-03  9.999833e-01 
 -1.214287e+01  6.204077e+00  2.850000e+03  -2.640419e-03  5.580539e-03  9.999809e-01 
 -1.222659e+01  6.359689e+00  2.880000e+03  -2.733259e-03  4.734242e-03  9.999851e-01 
 -1.230522e+01  6.495622e+00  2.910000e+03  -2.704325e-03  4.679436e-03  9.999854e-01 
 -1.238079e+01  6.614921e+00  2.940000e+03  -2.207712e-03  3.785295e-03  9.999904e-01 
 -1.243895e+01  6.731800e+00  2.970000e+03  -1.892156e-03  3.932560e-03  9.999905e-01 
 -1.248965e+01  6.853557e+00  3.000000e+03  -1.642066e-03  4.242400e-03  9.999897e-01 

2
 2.951416e-02  7.747183e-02  3.000000e+01  1.788292e-04  -3.099382e-05  1.000000e+0
 2.578375e-02  6.700974e-02  6.000000e+01  -2.046093e-04  -5.142857e-04  9.999998e-0
 2.275494e-02  5.294802e-02  9.000000e+01  2.447547e-05  -5.486023e-04  9.999998e-0
 3.082861e-02  4.292582e-02  1.200000e+02  3.472334e-04  -1.785556e-04  9.999999e-0
 4.302939e-02  3.288091e-02  1.500000e+02  6.110922e-04  -5.675144e-04  9.999997e-0
 6.214792e-02  1.808015e-02  1.800000e+02  4.764407e-04  -5.553331e-04  9.999997e-0
 7.598268e-02  1.120431e-02  2.100000e+02  5.189335e-04  -6.373496e-05  9.999999e-0
 1.003486e-01  1.103746e-02  2.400000e+02  1.145252e-03  -9.046741e-05  9.999993e-0
 1.394025e-01  7.071906e-03  2.700000e+02  1.630987e-03  -4.602152e-07  9.999987e-0
 1.895522e-01  9.875224e-04  3.000000e+02  1.663632e-03  -9.375080e-05  9.999986e-0
 2.489121e-01  1.362982e-03  3.300000e+02  2.422224e-03  3.794782e-06  9.999971e-01
 3.230459e-01  6.035358e-03  3.600000e+02  2.636257e-03  3.906177e-04  9.999964e-01
 4.020309e-01  2.681834e-02  3.900000e+02  2.499424e-03  1.088455e-03  9.999963e-01
 4.783877e-01  5.662006e-02  4.200000e+02  2.661550e-03  7.945568e-04  9.999961e-01
 5.576403e-01  8.532810e-02  4.500000e+02  2.634759e-03  1.001307e-03  9.999960e-01
 6.422628e-01  1.141090e-01  4.800000e+02  3.082833e-03  9.262268e-04  9.999948e-01
 7.392196e-01  1.424177e-01  5.100000e+02  3.525989e-03  1.036229e-03  9.999932e-01
 8.420027e-01  1.717981e-01  5.400000e+02  3.248658e-03  9.492781e-04  9.999943e-01
 9.418003e-01  1.988064e-01  5.700000e+02  3.610724e-03  9.197125e-04  9.999931e-01
 1.053130e+00  2.295793e-01  6.000000e+02  3.713514e-03  9.991857e-04  9.999926e-01
 1.162650e+00  2.512327e-01  6.300000e+02  3.869682e-03  5.223671e-04  9.999924e-01
 1.271767e+00  2.704281e-01  6.600000e+02  3.749621e-03  8.574373e-04  9.999926e-01
 1.397525e+00  2.985698e-01  6.900000e+02  4.476722e-03  1.108867e-03  9.999894e-01
 1.530300e+00  3.265648e-01  7.200000e+02  4.020662e-03  7.010011e-04  9.999917e-01
 1.647287e+00  3.460092e-01  7.500000e+02  3.811179e-03  5.530558e-04  9.999926e-01
 1.749157e+00  3.621008e-01  7.800000e+02  3.255448e-03  3.739231e-04  9.999946e-01
 1.850141e+00  3.730027e-01  8.100000e+02  3.546129e-03  3.203116e-04  9.999937e-01
 1.952160e+00  3.856650e-01  8.400000e+02  3.600360e-03  9.199593e-04  9.999931e-01
 2.069972e+00  4.041206e-01  8.700000e+02  4.127505e-03  7.511391e-04  9.999912e-01
 2.180680e+00  4.238431e-01  9.000000e+02  3.594649e-03  5.893609e-04  9.999934e-01
 2.298641e+00  4.466511e-01  9.300000e+02  4.110629e-03  9.538015e-04  9.999911e-01
 2.417313e+00  4.813880e-01  9.600000e+02  4.008218e-03  1.056884e-03  9.999914e-01
 2.536777e+00  5.187205e-01  9.900000e+02  4.066045e-03  1.508380e-03  9.999906e-01
 2.661286e+00  5.589117e-01  1.020000e+03  4.227936e-03  1.482383e-03  9.999900e-01
 2.796123e+00  6.072814e-01  1.050000e+03  4.672941e-03  1.747036e-03  9.999876e-01
 2.942023e+00  6.664555e-01  1.080000e+03  4.822033e-03  2.088861e-03  9.999862e-01
 3.087401e+00  7.414026e-01  1.110000e+03  4.662309e-03  2.774764e-03  9.999853e-01
 3.226779e+00  8.245185e-01  1.140000e+03  4.582089e-03  2.848898e-03  9.999854e-01
 3.357134e+00  8.980164e-01  1.170000e+03  4.197058e-03  1.986790e-03  9.999892e-01
 3.493141e+00  9.612895e-01  1.200000e+03  4.899448e-03  2.062780e-03  9.999859e-01
 3.643026e+00  1.024992e+00  1.230000e+03  4.982527e-03  2.107702e-03  9.999854e-01
 3.773931e+00  1.086450e+00  1.260000e+03  4.325505e-03  2.073948e-03  9.999885e-01
 3.898325e+00  1.157531e+00  1.290000e+03  4.156063e-03  2.579644e-03  9.999880e-01
 4.012087e+00  1.234765e+00  1.320000e+03  3.945697e-03  2.419109e-03  9.999893e-01
 4.124916e+00  1.308263e+00  1.350000e+03  3.523632e-03  2.620090e-03  9.999904e-01
 4.228376e+00  1.386130e+00  1.380000e+03  3.424475e-03  2.676840e-03  9.999906e-01
 4.330234e+00  1.454505e+00  1.410000e+03  3.050078e-03  1.930824e-03  9.999935e-01
 4.413261e+00  1.515446e+00  1.440000e+03  2.775271e-03  2.032612e-03  9.999941e-01
 4.501247e+00  1.571187e+00  1.470000e+03  2.933776e-03  1.709063e-03  9.999942e-01
 4.597713e+00  1.622024e+00  1.500000e+03  3.806997e-03  1.846214e-03  9.999910e-01
 4.728810e+00  1.675340e+00  1.530000e+03  4.790354e-03  1.991181e-03  9.999865e-01
 4.864504e+00  1.739231e+00  1.560000e+03  4.328715e-03  2.364246e-03  9.999878e-01
 4.991962e+00  1.809552e+00  1.590000e+03  4.483961e-03  2.179150e-03  9.999876e-01
 5.123480e+00  1.870053e+00  1.620000e+03  4.213162e-03  1.802608e-03  9.999895e-01
 5.261676e+00  1.929454e+00  1.650000e+03  4.584404e-03  2.201907e-03  9.999871e-01
 5.393745e+00  1.986623e+00  1.680000e+03  3.939373e-03  1.717789e-03  9.999908e-01
 5.520333e+00  2.039293e+00  1.710000e+03  4.469874e-03  2.018796e-03  9.999880e-01
 5.653645e+00  2.101299e+00  1.740000e+03  4.472824e-03  2.076472e-03  9.999878e-01
